teamAbbr,teamEFG%,teamTO%,teamOREB%,teamFTA,teamFGA,opptEFG%,opptTO%,opptOREB%,opptFTA,opptFGA,teamRslt
ATL,0.579,9.7,8.3,18,95,0.583,8.9,21.4,22,103,Loss
DEN,0.476,12.6,11.9,12,85,0.483,13.5,26.7,16,89,Loss
NYK,0.39,9.7,19,26,91,0.528,10.7,23.4,24,90,Loss
HOU,0.592,12.3,28.9,13,87,0.59,14,26.5,8,89,Win
BOS,0.575,13.4,20.5,22,87,0.541,9,12.2,36,85,Loss
LAL,0.494,12,26.7,19,87,0.469,13.7,17.8,17,81,Win
LAC,0.512,15.5,27.3,27,86,0.398,15.4,28.3,25,88,Win
CHO,0.494,7.3,30,32,88,0.489,10.5,34.7,33,88,Win
ATL,0.5,19.6,22.2,26,83,0.633,11.3,18.4,19,94,Loss
UTA,0.663,13.9,28.9,22,83,0.522,9.7,30.6,26,91,Win
MEM,0.54,15.5,16.3,26,87,0.446,10.2,14.3,30,93,Win
NOP,0.534,17.7,15.6,22,88,0.64,12.6,12.5,9,93,Loss
OKC,0.513,14.7,16.7,18,79,0.5,14,14.3,10,88,Loss
NYK,0.544,14.6,27.3,34,90,0.481,6.4,23.3,30,104,Win
PHI,0.585,10.7,25,23,82,0.522,5.7,19.6,17,91,Win
CLE,0.536,14.7,24.4,20,96,0.517,11,4.9,25,86,Win
DAL,0.602,10.1,27.5,23,88,0.534,6.6,10.9,23,89,Win
POR,0.529,8.1,17.5,11,86,0.58,9.4,34.9,19,88,Loss
LAL,0.563,16.4,32.6,23,87,0.518,7.6,12.2,28,85,Win
HOU,0.686,8.9,22.6,13,86,0.522,5.8,27.1,16,91,Win
NOP,0.483,8,24,35,88,0.534,8.1,21.4,34,87,Loss
IND,0.538,12.4,13.6,15,92,0.447,12.6,23.1,23,94,Win
CHO,0.418,18.5,24.4,21,79,0.339,11.1,18.3,14,90,Win
MIL,0.569,14.3,20.9,33,87,0.49,10.7,19.3,23,98,Win
GSW,0.5,10.6,28,22,91,0.57,12.3,17.1,31,79,Loss
LAC,0.563,16.5,20,39,79,0.506,15.1,15.9,37,85,Win
NYK,0.511,7.4,29.8,10,95,0.572,13.1,19,8,83,Win
SAS,0.453,8.3,15.9,34,106,0.485,8,10.3,26,103,Win
BRK,0.446,15.6,24.1,17,101,0.459,9.2,17.9,25,98,Loss
LAC,0.5,13.5,17.4,36,80,0.553,15.5,27.3,18,85,Loss
WAS,0.506,15.4,22.9,32,85,0.637,19.6,28.1,24,84,Loss
MIA,0.516,7,11.1,34,91,0.53,9.2,15.4,17,101,Win
CLE,0.539,15.7,26.7,15,90,0.624,11.1,19.5,26,85,Loss
OKC,0.506,14.1,17.1,23,81,0.547,13.6,25,23,85,Loss
DET,0.511,12,23.9,25,92,0.466,9.1,20,18,102,Win
ORL,0.612,8.2,21.6,26,89,0.642,15.4,26.2,12,88,Win
CHO,0.335,8.6,28.3,35,91,0.511,8.5,17,20,88,Loss
LAL,0.458,18.3,27.7,33,84,0.43,16.4,15.7,25,86,Win
PHI,0.459,14.6,15.2,17,86,0.505,13.6,27.9,18,94,Loss
NYK,0.511,10.1,31.1,10,94,0.521,8.1,34,19,94,Loss
SAC,0.683,27.8,18.2,16,63,0.434,19.2,17.1,18,76,Win
WAS,0.659,13.4,22.6,21,88,0.552,12.2,30,34,86,Win
CLE,0.556,9.3,20.5,17,90,0.674,6.8,16.7,17,89,Loss
SAS,0.495,15.3,15.4,20,91,0.464,9.8,23.7,27,98,Loss
MIA,0.525,12.9,19.4,31,81,0.564,13.1,36.4,30,86,Loss
DAL,0.557,12.3,17.8,27,88,0.471,6.5,25.4,24,105,Win
CHI,0.546,12.3,13.2,13,87,0.623,24.2,25.7,28,69,Loss
POR,0.56,17.7,21.4,20,84,0.522,16.9,25.6,19,90,Win
SAC,0.495,9.4,22.2,13,91,0.562,14.7,41,27,81,Loss
LAL,0.516,11.7,31.8,17,91,0.541,11.3,31.7,20,85,Loss
ATL,0.53,8.5,17.6,20,99,0.626,9.2,32.5,31,95,Loss
BRK,0.474,9.4,12.5,23,96,0.397,6.4,25,24,107,Win
ORL,0.489,2.9,7.7,15,93,0.55,12.6,21.3,16,90,Loss
PHO,0.451,15.2,29.6,10,102,0.584,13.2,15,22,89,Loss
CHO,0.478,8.3,28.3,18,91,0.588,22,33.3,17,74,Loss
TOR,0.5,10.6,24,24,91,0.483,13.4,22.2,22,87,Win
MIA,0.541,11.3,29.7,20,85,0.489,11.7,29.4,18,90,Win
CHI,0.459,12.2,21.2,24,97,0.432,11.4,25,32,95,Win
NOP,0.523,15.1,26.2,21,86,0.432,8.6,21.4,27,95,Win
MEM,0.556,11,34.1,15,99,0.589,10.8,15.8,34,84,Loss
ORL,0.489,11.1,17.4,21,87,0.542,15.2,34.1,25,84,Loss
BOS,0.477,13.1,30.4,30,86,0.477,6.7,20,25,87,Win
GSW,0.476,6.6,28.3,23,103,0.5,8.4,29.8,28,97,Loss
UTA,0.506,15.3,27.7,38,83,0.494,14,13,19,90,Win
LAL,0.538,16.6,17.9,23,80,0.571,12.5,20.5,32,77,Loss
BRK,0.464,15.8,15,30,83,0.516,9.4,24.1,23,96,Loss
HOU,0.581,15.4,24.4,29,86,0.593,16,17.5,19,86,Win
MEM,0.5,6.2,18.5,7,102,0.527,12.1,30.8,23,92,Loss
SAC,0.505,9.3,28.9,15,91,0.605,8.7,20,18,86,Loss
DET,0.465,20.4,22.4,19,85,0.576,17.4,34.2,21,86,Loss
WAS,0.54,11.4,18.2,32,87,0.564,14.9,16.2,44,78,Loss
NYK,0.489,6.9,23.6,33,94,0.675,15.6,24.3,34,77,Loss
PHO,0.5,13.4,26.7,23,87,0.621,13.5,24.2,21,87,Loss
DAL,0.602,14.7,18.6,22,83,0.478,13.3,21.2,18,90,Win
MIN,0.471,12.4,32,27,87,0.551,13.7,25,12,89,Loss
ORL,0.401,7.8,29.5,26,106,0.601,17.8,26.8,19,84,Loss
NOP,0.468,14.2,26,23,93,0.494,15.3,22.2,25,83,Loss
UTA,0.633,20,24.2,20,75,0.529,12.9,24.4,22,85,Win
ATL,0.424,7.9,22.2,27,105,0.515,11.8,24,28,100,Loss
CHI,0.636,17,32.4,25,77,0.552,14.8,14.6,12,87,Win
WAS,0.449,9.7,15.9,34,88,0.596,11.9,34,21,94,Loss
MIL,0.588,15.9,17.4,35,85,0.448,11.6,17,21,97,Win
SAC,0.485,9.8,33.3,24,100,0.572,12.8,19.5,29,83,Loss
LAC,0.606,9.3,28.9,19,99,0.573,16.6,11.8,19,82,Win
HOU,0.695,9.3,13.9,23,87,0.56,7.1,23.8,30,91,Win
MIN,0.523,14.5,17.5,16,87,0.495,11.8,27.3,25,94,Loss
DAL,0.472,14.3,27.5,27,90,0.447,8.5,26.4,31,94,Loss
CHO,0.463,3.2,4.1,23,82,0.602,10.4,28.6,16,88,Loss
IND,0.43,11.3,18.2,5,100,0.495,7.5,29.6,17,104,Loss
LAC,0.529,13.4,23.3,24,86,0.521,10.2,33.3,20,97,Loss
DEN,0.549,7.1,38.6,30,92,0.53,17,40,22,83,Win
ATL,0.553,13.5,12.2,17,95,0.578,18.5,17.9,12,96,Loss
PHI,0.611,10.7,41.5,11,95,0.571,12.4,16.2,18,84,Win
TOR,0.516,13.3,27.3,24,94,0.568,10.4,25.5,20,95,Loss
WAS,0.52,6.6,32.7,30,100,0.554,12.3,25.6,15,93,Win
CHI,0.472,13.7,21.6,15,88,0.543,12.5,14.3,23,81,Loss
UTA,0.5,10.1,18.9,18,90,0.461,12.1,27.1,27,90,Loss
SAS,0.758,11.2,14.3,14,89,0.547,11.2,20.8,16,96,Win
DEN,0.647,19.9,17.1,15,78,0.557,15.2,21.4,18,87,Win
NOP,0.489,10.7,24.5,16,93,0.429,10,16,18,91,Win
HOU,0.534,10.2,13.6,23,87,0.511,14.9,25,23,87,Win
MIN,0.466,13.8,17.6,29,87,0.506,15.9,29.5,30,87,Loss
BOS,0.576,16.2,32.5,14,92,0.525,15.9,17.9,22,80,Win
MIL,0.542,9.2,18.6,8,95,0.54,6.1,26.4,15,101,Loss
HOU,0.45,10.1,24.6,16,100,0.523,13.9,23.9,28,87,Loss
LAC,0.512,13.9,30.2,32,85,0.469,11,24.5,21,96,Win
NOP,0.556,15.9,34.1,12,90,0.467,10.7,25.5,18,92,Win
WAS,0.451,10.4,32.7,27,92,0.645,12.6,29.7,26,86,Loss
NYK,0.451,11.6,24.1,15,92,0.353,12.2,16.1,36,78,Win
SAS,0.53,12.7,11.4,15,83,0.511,12.7,24.5,15,90,Loss
MEM,0.607,14.4,22.9,11,84,0.467,8.4,14.3,13,92,Win
MIN,0.394,10,21.5,29,104,0.388,9.2,23.9,25,107,Win
POR,0.567,11,24.4,19,89,0.654,9.9,17.9,22,81,Loss
CLE,0.571,10.1,16.2,29,85,0.589,9.6,27.3,19,95,Loss
OKC,0.478,12,21.3,31,89,0.45,12.1,30.4,18,101,Win
PHI,0.46,13.5,15.6,21,87,0.477,13.3,20.8,23,88,Loss
MIL,0.566,15.7,13.6,13,91,0.429,15.6,13.8,14,91,Win
IND,0.567,4,4.5,12,90,0.539,11.8,30.4,19,89,Loss
PHO,0.513,23.3,26.8,24,75,0.462,8.8,22.4,25,92,Loss
MEM,0.542,15.2,25,25,84,0.532,8.7,22.7,27,93,Loss
TOR,0.607,19.4,38.5,17,84,0.442,13,15.6,36,78,Win
IND,0.424,15.5,24,29,85,0.559,10.5,24.4,20,93,Loss
ATL,0.424,17.3,19.1,11,86,0.58,15.1,30.2,19,87,Loss
BRK,0.462,12.9,19.1,21,92,0.5,11.5,29.6,16,101,Loss
PHI,0.528,8.1,18.6,29,89,0.5,7,17,29,94,Loss
CLE,0.442,23.2,35,36,77,0.398,15.1,23.3,19,93,Win
NYK,0.512,17.9,23.9,26,85,0.396,9.1,23.7,31,96,Win
DAL,0.652,11.4,21.4,21,92,0.581,11.5,19.6,17,93,Win
ORL,0.483,10.3,10.2,19,87,0.589,20,32.6,18,84,Loss
DET,0.511,9.6,18.5,30,90,0.667,9.9,18.9,15,93,Loss
PHO,0.576,12.3,19.4,15,86,0.56,11.3,17.5,24,84,Win
LAL,0.577,8,26.8,28,91,0.564,14,21.4,27,86,Win
UTA,0.622,11.4,16.7,17,86,0.432,6.1,28.1,27,95,Win
OKC,0.5,16.2,19,23,78,0.512,13.7,18.6,12,83,Win
SAC,0.606,11.5,25,17,85,0.568,11.3,27.8,31,81,Loss
CHO,0.483,12.3,22.9,32,86,0.538,12.2,31.1,17,93,Loss
HOU,0.611,15.9,20,20,81,0.578,7.7,29.8,13,102,Loss
DAL,0.433,15.5,28.3,20,89,0.545,15,15.8,28,78,Loss
ATL,0.537,18.4,27.5,17,81,0.444,8.3,21.2,24,89,Win
MIA,0.521,16.6,24.4,39,73,0.613,8.5,20.9,30,84,Loss
MIL,0.613,14.5,25.6,24,84,0.453,8.3,22.2,8,107,Win
BRK,0.48,12.6,12.5,27,99,0.486,10.7,17.7,29,104,Loss
DET,0.405,16,21.3,23,79,0.53,13.2,21.4,20,83,Loss
PHO,0.549,8.1,23.8,22,92,0.531,7.1,22.7,18,96,Win
BOS,0.526,9,31.3,10,97,0.465,15.4,17,16,86,Win
PHI,0.44,10.7,29.8,20,91,0.552,5.8,13.2,26,86,Loss
LAC,0.477,10.1,31.8,22,88,0.463,14.5,22.9,19,80,Win
DEN,0.505,13.7,31.8,9,97,0.621,13,34.2,31,87,Loss
GSW,0.521,7.1,17.3,18,96,0.542,8.8,22.2,17,96,Loss
CLE,0.483,13,18.6,16,87,0.577,10.4,23.3,25,84,Loss
DAL,0.435,8.7,30.9,27,93,0.462,9.6,36,28,91,Loss
ORL,0.537,7.8,22.9,27,95,0.431,11.4,18,31,87,Win
POR,0.447,7.4,17.9,15,94,0.551,6.3,19.6,14,98,Loss
MIN,0.456,9.6,11.1,28,91,0.473,13.9,22.2,26,94,Loss
PHO,0.523,12.7,25.6,23,86,0.517,10.3,26.5,34,90,Loss
CHO,0.536,10.5,22.2,24,83,0.586,13.8,19.4,14,81,Win
DEN,0.575,9.2,37.5,27,87,0.598,8.8,22,25,82,Win
TOR,0.348,9.4,24.1,17,89,0.481,13.2,20.5,11,81,Loss
UTA,0.559,16.6,18.9,22,76,0.452,9,30,17,94,Win
GSW,0.448,15.6,16.7,21,77,0.468,10.5,32.1,17,95,Loss
BRK,0.527,10,26.1,17,91,0.607,11.9,27.3,17,89,Loss
OKC,0.534,3.9,20.5,20,89,0.505,7.6,28.6,12,92,Win
MEM,0.554,14.3,19,21,93,0.567,10.4,17.1,31,90,Loss
DET,0.463,9.1,23.1,35,94,0.603,12.9,25,21,92,Loss
ATL,0.505,12.3,12.5,15,93,0.473,10.2,25,29,93,Loss
MIA,0.419,16.6,21.3,23,80,0.488,9.6,15.2,29,81,Loss
POR,0.545,6.4,28.9,33,88,0.483,10.6,31.8,25,90,Win
PHI,0.489,9.6,20.8,25,92,0.547,9.9,19,32,86,Loss
NYK,0.5,12.5,25,30,92,0.522,8.7,18.8,33,90,Loss
NOP,0.525,9.5,18.8,7,102,0.581,10.9,20.5,28,86,Loss
MEM,0.604,7.7,23.9,28,96,0.48,10.5,24.6,22,101,Win
TOR,0.521,6,31.9,28,97,0.575,22.7,17.6,34,67,Win
UTA,0.538,7.5,27.5,14,93,0.512,10,19.6,12,85,Win
IND,0.471,9.7,26.5,35,87,0.573,12.3,13.3,24,82,Loss
OKC,0.521,9.3,35.3,26,96,0.541,12.3,20.9,17,85,Win
BOS,0.573,17.2,33.3,21,82,0.506,13.8,26.2,31,80,Win
DEN,0.494,10.5,20.5,34,87,0.582,9.7,36.8,27,91,Loss
CHO,0.559,14.7,37.2,31,85,0.545,8.6,27.5,13,100,Win
DET,0.584,18.9,22.5,16,83,0.47,12.7,22.9,32,82,Win
SAS,0.473,7,20.8,34,92,0.592,8.1,15.2,33,87,Loss
NOP,0.529,12.9,19.6,33,87,0.518,16.6,28.6,36,85,Win
NYK,0.643,13.8,20,37,84,0.651,16.3,25.6,33,83,Loss
POR,0.534,9.5,18.2,20,87,0.622,9.3,25.6,16,90,Loss
MIN,0.568,13.7,30.4,13,95,0.524,17.8,29.3,19,84,Win
MEM,0.651,15,8.1,17,83,0.484,8.6,23.5,26,95,Win
DET,0.442,14.6,13.3,35,78,0.489,11.3,22.9,23,92,Loss
IND,0.584,9.5,28.6,14,89,0.519,10.8,20.5,22,81,Win
BRK,0.385,10.3,19.7,19,96,0.481,16,24.4,31,81,Loss
OKC,0.517,10.5,29.8,31,89,0.583,9.3,21.4,18,90,Loss
BOS,0.389,13.1,28.6,26,95,0.506,12.9,15.2,23,84,Loss
DEN,0.56,3.7,18.9,27,92,0.571,9.9,10.5,32,77,Win
UTA,0.6,7.4,16.7,24,90,0.543,5.3,26.5,30,94,Win
CHI,0.515,7.2,34.7,11,98,0.619,13.2,28.2,19,84,Loss
MIL,0.479,7.3,18.5,14,95,0.619,10.2,26.3,19,88,Loss
GSW,0.424,14.5,21.3,32,86,0.574,19.4,15,23,81,Loss
DET,0.533,8.2,22.2,21,91,0.576,14.8,26.8,16,85,Win
POR,0.506,9.6,14.9,14,88,0.443,11.1,30.9,19,96,Win
OKC,0.473,12.5,16.3,29,92,0.464,13.9,20.4,16,98,Win
MIN,0.528,15.4,22.2,21,90,0.562,13.2,23.1,21,89,Loss
SAC,0.53,13.5,18.6,28,84,0.552,16.4,15.4,22,77,Win
NYK,0.411,13.6,26.3,16,95,0.604,15.7,15.8,21,82,Loss
SAS,0.603,12.5,20.5,26,87,0.489,12.8,16.3,30,89,Win
TOR,0.521,8.9,27.5,20,94,0.529,14.9,28.9,26,86,Win
MIA,0.63,10.7,8.8,25,81,0.53,11.2,13.6,25,84,Win
WAS,0.464,19.9,20.8,19,84,0.552,13.6,30.2,34,87,Loss
HOU,0.495,10.6,29.6,41,92,0.429,8.5,27.1,27,106,Win
DEN,0.535,11.3,22,20,85,0.584,12.9,17.1,24,77,Win
CHI,0.522,10.6,20.8,21,92,0.557,12.2,29.3,32,87,Loss
NYK,0.479,8.1,26.9,11,97,0.633,6.5,30.8,23,90,Loss
MIL,0.454,8.2,11.1,32,87,0.466,15.8,22.2,20,87,Win
CLE,0.555,12.3,27,20,91,0.52,12.5,39.6,16,98,Win
BOS,0.511,13.3,18.6,8,88,0.551,11.2,30.2,17,88,Loss
POR,0.422,8.4,25.5,31,96,0.567,12.5,35.7,21,89,Loss
HOU,0.444,12.8,15.7,14,89,0.557,11.9,22.5,20,87,Loss
ATL,0.5,15.3,19.1,24,89,0.42,6.8,28.8,28,112,Loss
NOP,0.663,16.9,15.8,17,86,0.485,10.7,27.5,20,100,Win
MIA,0.559,6.9,9.8,21,85,0.565,8.2,28,19,93,Loss
IND,0.637,10.9,21.1,14,84,0.575,14.7,13.6,16,80,Win
SAS,0.58,10.2,11.6,23,87,0.6,7,25.6,16,100,Loss
ORL,0.421,12.3,28.6,24,89,0.475,13.4,20.5,26,79,Loss
CHO,0.52,19.3,18.4,19,75,0.62,15,23.1,14,79,Loss
LAL,0.584,6.4,28.6,32,89,0.464,7.4,31.5,37,96,Win
MIL,0.547,9.2,15.2,30,95,0.51,13.7,11.8,10,96,Win
GSW,0.427,8.5,22.4,25,96,0.554,16.9,21.4,22,84,Loss
MIN,0.447,14,22,36,95,0.611,14.3,27.9,29,95,Loss
NOP,0.47,12.9,25.9,18,100,0.62,8.5,26.3,18,100,Loss
CHI,0.572,13.6,23.1,14,83,0.519,17.5,29.3,27,78,Win
LAL,0.591,10.4,27.3,10,99,0.516,6.6,10.6,17,92,Win
PHI,0.423,3.7,24.6,12,98,0.576,14.2,27.5,27,79,Loss
CLE,0.562,12.9,27.9,13,89,0.474,4.6,20.4,18,95,Win
MIL,0.524,8.2,20,20,103,0.442,11.1,13.8,21,95,Win
MIA,0.628,13.4,21.6,28,78,0.561,5.5,24.4,28,90,Loss
UTA,0.589,9.8,30,25,90,0.543,8.2,22,17,93,Win
ATL,0.392,10.5,6.8,11,97,0.597,21.1,19.4,29,77,Loss
GSW,0.473,17.9,22.2,21,92,0.505,12.6,34,25,100,Loss
SAS,0.477,9.9,19.6,30,87,0.495,9.8,16,11,96,Win
LAC,0.5,12.8,22.2,26,84,0.552,12.2,22,37,77,Loss
CHO,0.465,13,17,18,86,0.543,16.7,29.3,18,82,Loss
NOP,0.461,14.2,30.9,27,103,0.46,7.6,10.2,24,99,Win
PHI,0.449,10.2,24.5,19,89,0.442,8.3,24.5,31,86,Loss
CHI,0.494,13.2,17.5,26,81,0.524,11.1,24.4,29,83,Loss
OKC,0.573,13.8,20,26,82,0.484,8.2,17,21,91,Win
CHO,0.544,7.6,20.8,18,90,0.602,12.5,22,19,83,Loss
ORL,0.484,7.1,23.1,30,92,0.586,11.6,10.5,11,87,Win
CLE,0.488,16.6,22.7,24,85,0.608,8.2,26.8,28,88,Loss
PHO,0.483,9.8,22.7,32,87,0.57,12.8,28.6,20,93,Loss
UTA,0.571,7.5,17.9,15,92,0.544,11,24.4,15,90,Win
HOU,0.512,13.4,20.5,24,86,0.577,6.6,17.9,19,91,Loss
NYK,0.407,8.8,19,26,102,0.571,11.8,17.8,28,92,Loss
DAL,0.578,6.2,34.1,21,96,0.5,13.1,15.6,13,87,Win
CLE,0.495,11.8,17,15,91,0.601,9.6,30.4,21,94,Loss
DET,0.679,11.3,8.8,19,78,0.548,14,29.5,20,83,Win
BRK,0.506,11.5,23.4,30,87,0.574,10.8,28.3,25,88,Loss
SAS,0.494,7.7,12.8,15,89,0.563,8.8,18.6,13,88,Loss
WAS,0.538,15,17.5,26,79,0.588,13.7,20.5,22,85,Loss
IND,0.559,14.2,16.7,12,85,0.494,13.6,20.8,16,88,Win
TOR,0.7,16.4,15.6,15,85,0.6,16.1,11.4,20,85,Win
CHO,0.481,13.8,19.6,14,81,0.538,10.9,8.3,25,79,Loss
POR,0.489,6.1,24,29,95,0.479,10.2,20.7,23,96,Win
DAL,0.582,9.7,29.5,24,92,0.583,7.1,24.4,20,96,Win
ORL,0.511,10.9,27.1,29,94,0.572,13.6,27.1,11,97,Win
PHO,0.576,16,31.8,18,92,0.456,15.2,20.4,24,90,Win
BOS,0.515,6,18.9,27,98,0.586,8.8,17.5,37,87,Loss
UTA,0.535,10.2,23.4,32,100,0.608,10.7,22,35,93,Loss
DEN,0.555,15.2,31.9,26,100,0.547,14.2,19.6,31,95,Win
ORL,0.467,8.3,10.9,16,92,0.568,8,21.7,20,95,Loss
MIN,0.551,11.8,15.9,21,88,0.61,12.5,12.1,20,82,Loss
CHI,0.481,15.4,14.6,15,81,0.543,11.2,22.5,11,82,Loss
WAS,0.534,20.8,27.7,23,89,0.692,16.2,18.9,16,91,Loss
CLE,0.495,12.7,30.2,26,92,0.556,10.9,17.1,20,89,Loss
MIA,0.571,10.4,17.1,24,84,0.548,9.8,13.3,18,84,Win
ATL,0.616,16.8,19,27,82,0.5,12.2,28.6,23,98,Win
POR,0.571,11.2,21.1,22,85,0.551,11.4,28.9,28,89,Loss
LAC,0.548,9.8,21.7,39,93,0.622,17.1,31.6,36,86,Win
MIL,0.601,17.2,12.5,16,89,0.409,13.8,19.7,17,99,Win
PHO,0.545,12.8,22.2,30,89,0.516,9.4,8.7,22,96,Win
DET,0.68,14.9,33.3,25,86,0.484,16,25,15,93,Win
PHI,0.5,13.1,12.2,19,78,0.432,12.7,25,18,88,Win
CLE,0.651,24.5,24.1,23,73,0.603,11.3,12.1,17,87,Loss
TOR,0.588,12.4,15.9,17,91,0.479,13.8,25.5,27,94,Win
ORL,0.506,14.1,19.6,13,86,0.521,9.2,15.9,11,94,Loss
LAL,0.543,13.7,30,32,93,0.511,16.3,24.4,29,90,Win
POR,0.495,10.7,25,21,91,0.56,10.8,30,36,83,Loss
SAC,0.547,9.9,15.9,12,86,0.588,7.7,25,24,85,Loss
MIA,0.488,8.7,22.7,20,86,0.494,10.3,19.6,24,85,Loss
IND,0.576,12.9,25.6,19,86,0.483,8.1,30.8,32,88,Win
DET,0.483,14.8,22.4,20,89,0.567,17.6,16.7,16,82,Loss
TOR,0.484,11.2,22.6,43,92,0.566,19.1,21.4,33,83,Win
PHI,0.516,10.2,26.1,27,94,0.549,18.7,29.5,34,81,Win
ORL,0.554,8.6,33.3,9,92,0.447,17.5,22,20,76,Win
NYK,0.535,9.8,15.9,17,85,0.399,9,27.6,17,94,Win
OKC,0.5,10.4,17.1,26,92,0.49,9.5,18.4,17,97,Win
NOP,0.597,14,12.2,24,88,0.49,11.1,28.3,21,103,Win
SAC,0.476,11.8,30.2,15,106,0.602,18.5,13.2,22,83,Loss
CHI,0.446,13.8,13.5,18,92,0.656,20.9,8.6,23,77,Loss
LAL,0.478,12.8,26.1,29,89,0.645,10.2,36.8,29,93,Loss
DEN,0.539,12,29.5,12,90,0.489,8.5,21.6,14,91,Win
SAS,0.592,7.6,14.6,22,87,0.575,13.1,24.2,30,80,Win
IND,0.457,11.9,17.6,7,93,0.609,18.5,34.4,12,87,Loss
GSW,0.453,6.7,31.1,22,116,0.51,9.6,22.6,30,100,Loss
LAC,0.433,8.2,35.1,33,97,0.495,10.6,24.5,24,91,Win
SAC,0.48,8.5,21.1,23,98,0.616,15.5,8.3,44,73,Loss
OKC,0.664,14.8,0,23,76,0.554,12.4,23.4,16,92,Win
PHI,0.488,12.4,15.1,18,84,0.541,11.2,17.8,21,86,Loss
LAC,0.449,12.8,16.7,39,78,0.407,11.8,38.3,23,102,Loss
MEM,0.488,14.9,12.5,15,85,0.584,8.4,20.5,20,89,Loss
WAS,0.571,9.3,15.9,20,99,0.606,13.7,15,36,85,Loss
LAL,0.494,9.6,24.4,28,82,0.472,15.4,28.9,13,88,Win
MIN,0.564,15.7,20.8,24,86,0.518,10.7,26.7,37,84,Loss
DEN,0.511,13.2,27.1,15,92,0.545,14.4,40,28,89,Loss
IND,0.589,8.8,10.3,20,84,0.381,12,19.1,26,84,Win
SAS,0.567,9.9,21.4,25,89,0.548,12.5,18.6,32,84,Win
UTA,0.629,8,36.6,23,93,0.432,7.5,21.2,24,88,Win
WAS,0.647,9.7,21.2,18,85,0.516,7.2,22.7,17,96,Win
LAL,0.601,12.7,25,20,94,0.555,14.1,16.3,15,91,Win
DAL,0.634,7.2,27.3,24,93,0.621,10.9,27.5,15,91,Win
MIL,0.563,13.3,27.9,24,87,0.453,11.6,16.3,30,86,Win
MEM,0.614,13.1,22.9,31,79,0.489,6.3,19.6,31,91,Win
BOS,0.547,12.2,21.4,18,86,0.467,12.5,27.1,19,90,Win
TOR,0.611,7.1,13.5,23,81,0.571,12.9,35,21,85,Win
SAC,0.494,12.6,16.7,21,81,0.443,18.2,18.6,14,79,Win
LAC,0.543,7.1,23.4,23,94,0.5,7.8,19.6,29,93,Win
HOU,0.577,9.5,11.6,31,91,0.546,13.7,30.2,20,98,Win
DEN,0.439,8.7,42.1,20,106,0.537,15.2,27.3,30,82,Win
ATL,0.516,9.8,20.4,20,92,0.663,12.2,18.2,34,86,Loss
PHO,0.512,12.2,23.3,21,84,0.455,13.1,23.8,33,78,Win
IND,0.672,9.7,13.9,13,87,0.604,17.8,18.4,23,82,Win
DAL,0.515,8.1,19.2,13,97,0.522,11.4,26.1,22,91,Loss
BRK,0.527,8.7,22.4,25,94,0.476,6.7,24.1,18,104,Win
CHI,0.588,8.6,17.9,24,85,0.577,19.1,27.5,11,84,Win
OKC,0.556,10.8,8.1,25,80,0.511,11.7,14.9,18,90,Win
LAL,0.5,19.6,15.4,23,76,0.609,19.6,21.6,19,78,Loss
HOU,0.517,13.8,32.6,27,88,0.532,12.1,27.5,20,93,Loss
TOR,0.495,7,25.5,15,99,0.512,14.7,16.3,24,82,Win
WAS,0.54,9.4,18.2,42,88,0.661,11.5,31.6,34,93,Loss
PHO,0.44,13.7,24,35,92,0.571,20.8,21.1,26,84,Loss
BOS,0.506,14,16.3,22,89,0.565,14.7,37.5,29,92,Loss
BRK,0.5,13.3,17.1,23,81,0.565,11.7,34.1,13,92,Loss
LAC,0.551,15.6,30,29,79,0.395,5.2,28.1,32,95,Win
IND,0.586,5.5,16.2,21,93,0.656,12.9,32.4,25,90,Loss
CLE,0.547,11.3,28.2,13,96,0.524,15.7,20.9,17,84,Win
ORL,0.433,4.9,22.4,19,89,0.62,10.4,9.1,16,79,Loss
SAS,0.524,10.2,25,34,82,0.527,8.3,28.6,15,93,Loss
SAC,0.602,12.7,20.5,34,88,0.612,16.2,22.2,33,89,Win
DAL,0.51,6.4,22.2,9,99,0.465,7.8,12,19,86,Win
HOU,0.562,12.8,14.3,49,81,0.576,15,5.6,26,85,Win
NYK,0.494,12.5,18.6,11,86,0.432,11.5,32,27,88,Loss
GSW,0.511,11.9,12.5,21,87,0.579,13,5.6,26,82,Loss
NOP,0.608,14,17.9,24,88,0.49,9.5,29.2,18,97,Win
ATL,0.511,14.9,19.2,25,92,0.562,9.9,22.7,27,97,Loss
DEN,0.471,16.8,27.1,18,86,0.598,15.4,16.2,14,82,Loss
BOS,0.548,13,24.4,24,83,0.421,8.9,22.9,31,89,Win
WAS,0.543,8.4,23.9,34,94,0.661,11.7,31.4,35,90,Loss
PHO,0.663,10.4,24.2,21,86,0.488,13.7,20.5,27,83,Win
CHI,0.565,16.4,15.4,15,85,0.556,14.7,31.7,22,89,Loss
DET,0.566,14.4,23.7,28,83,0.594,8.4,20,30,85,Loss
MEM,0.576,9.9,16.7,33,86,0.478,13.4,22.9,29,91,Win
UTA,0.524,11.1,27.9,46,84,0.61,8.6,11.4,30,82,Loss
HOU,0.516,12.8,18.4,18,94,0.59,15.1,25,27,89,Loss
OKC,0.585,11.8,26.3,20,88,0.511,11.9,23.9,11,91,Win
