teamAbbr,teamEFG%,teamTO%,teamOREB%,teamFTA,teamFGA,opptEFG%,opptTO%,opptOREB%,opptFTA,opptFGA,teamRslt
NOP,0.484,13.4,32.1,22,94,0.539,10.7,17,23,90,Loss
BRK,0.516,12.2,21.7,17,93,0.495,7.2,11.6,29,91,Loss
DEN,0.432,12.6,15.9,39,73,0.465,14.2,22.7,11,86,Win
PHO,0.58,15.2,10.8,16,88,0.541,17.5,31.7,19,86,Win
TOR,0.494,12,14.6,25,84,0.534,9.9,22.2,25,89,Loss
MIN,0.633,17.1,8.8,17,94,0.453,13.7,15.4,27,95,Win
CHO,0.453,11.2,31.4,23,85,0.5,17.9,13.5,13,77,Win
PHI,0.556,8.9,28.9,12,107,0.699,16.8,10.8,25,78,Win
CHI,0.482,15.9,13.3,25,84,0.518,14.2,21.7,27,85,Loss
HOU,0.481,19.2,8.9,31,79,0.629,13.2,12.8,22,89,Loss
SAC,0.571,12.7,25.6,25,85,0.45,12.2,18.4,31,80,Win
LAL,0.517,15.9,15.2,19,87,0.434,15.1,17,29,83,Win
DAL,0.638,11.5,27.5,13,94,0.5,7.8,23.1,22,96,Win
UTA,0.462,13.3,14.3,31,78,0.429,7.8,36.7,34,92,Loss
DET,0.494,17.1,31.7,23,82,0.505,9.6,31,25,93,Loss
NOP,0.562,16.5,23.3,21,97,0.62,18.1,29.3,28,92,Loss
HOU,0.468,14.5,26.9,29,93,0.441,11.9,26,21,94,Win
MIL,0.613,13.8,24.4,30,93,0.422,11.7,22,22,103,Win
PHI,0.545,17,20.5,20,89,0.604,17.6,14.7,27,77,Loss
POR,0.51,5.1,29.1,14,105,0.547,8.9,22.2,36,86,Loss
IND,0.606,15.6,20.6,7,94,0.534,10.9,21.7,42,88,Loss
BOS,0.635,13.3,11.1,15,85,0.489,7.9,21.2,22,95,Win
SAS,0.462,12.9,22,23,91,0.539,15.6,23.1,16,90,Loss
LAL,0.549,12.8,25.5,24,92,0.588,14.4,15.9,23,85,Win
ORL,0.409,12.8,34,31,82,0.5,8.7,15.9,20,86,Loss
MIA,0.415,11.6,25.5,25,88,0.576,17,22.5,16,86,Loss
NYK,0.556,12.7,12.5,21,80,0.652,15.2,24.2,24,79,Loss
WAS,0.458,13.4,31.4,19,95,0.532,11,28.9,26,94,Loss
CHI,0.579,15.3,16.7,27,82,0.446,21.2,14.3,35,74,Win
GSW,0.464,8.5,29.1,28,96,0.603,10.2,23.9,19,97,Loss
SAC,0.547,11.8,25.5,21,95,0.641,13.4,6.1,29,78,Loss
MIN,0.531,9.3,19.6,26,96,0.636,14.4,23.5,30,88,Loss
ORL,0.525,16.3,24.4,28,80,0.494,14.9,26.1,30,84,Loss
PHI,0.463,12.8,16.3,34,80,0.506,11.5,28.6,24,89,Loss
MIL,0.52,11.7,25.9,34,98,0.485,14.3,25.9,36,98,Win
BOS,0.484,10.4,21.6,23,93,0.419,17.4,18,21,86,Win
OKC,0.588,12.6,10.3,24,80,0.59,11.6,30.8,11,94,Loss
MIA,0.64,12.3,14.3,24,82,0.506,12.5,21.7,31,84,Win
POR,0.428,10.5,27.9,16,104,0.461,14.3,27.7,30,89,Loss
DET,0.529,13.8,22.7,18,86,0.542,11.3,25,25,83,Loss
MEM,0.436,16.4,8.2,13,86,0.511,7.9,27.3,27,93,Loss
CLE,0.489,10.5,36.2,29,90,0.505,15.4,35.4,6,96,Win
SAC,0.671,14,28.1,22,76,0.58,11.4,28.9,14,87,Win
GSW,0.466,15,25,24,103,0.473,12.7,35.7,29,111,Loss
TOR,0.543,14.1,20.4,24,93,0.455,14.3,24.6,21,99,Win
NYK,0.494,10.5,25.9,31,89,0.489,11.8,14.3,17,90,Win
PHI,0.517,15.4,24.4,17,86,0.5,9.6,15.6,17,87,Loss
MIL,0.411,10,26.2,30,95,0.494,17.1,22.4,29,84,Loss
BRK,0.495,7.4,31.4,30,99,0.469,8.5,27.1,25,97,Win
MIA,0.388,11.7,17.4,24,80,0.494,16.3,25.6,8,89,Loss
BOS,0.585,7,16.3,28,94,0.465,11.8,36.8,30,99,Win
NOP,0.627,22.8,23.7,30,75,0.477,16.9,26.5,34,88,Win
HOU,0.584,18.8,20.5,28,83,0.398,12.4,19.3,18,98,Win
DAL,0.629,11.7,29.3,20,97,0.589,12.9,22.2,14,95,Win
GSW,0.535,14,14.6,17,85,0.633,17.2,20,17,79,Loss
DEN,0.441,15.6,26.9,17,101,0.381,9.7,25.9,33,97,Win
IND,0.577,8.8,25,5,91,0.545,9.8,17.5,6,89,Win
CHO,0.536,12.2,13.3,22,84,0.607,18,28.6,16,84,Loss
MIL,0.633,19.5,14.3,18,83,0.588,13.2,10.4,17,91,Win
CLE,0.488,12.8,20.5,31,82,0.413,17.8,32.1,25,86,Win
BRK,0.527,14.7,11.9,17,91,0.621,6.1,11.6,19,99,Loss
ATL,0.457,12.2,19.6,25,104,0.49,12.8,30.2,28,104,Loss
TOR,0.551,11.6,15.6,22,89,0.489,10.5,26.5,19,94,Win
MIN,0.59,14.1,28.9,19,89,0.54,14.8,26.1,25,87,Win
DAL,0.478,5.6,26.5,28,89,0.564,8.5,23.3,25,86,Loss
MEM,0.569,10.3,20.5,20,87,0.533,11.8,15.6,17,90,Win
HOU,0.588,14.6,17.1,32,85,0.505,13,23.1,27,95,Win
UTA,0.593,11.2,12.2,32,81,0.532,9.1,17.4,14,94,Win
TOR,0.465,14.1,9.8,15,85,0.413,15.3,37.7,30,92,Loss
OKC,0.39,13.9,18.8,24,82,0.527,12.3,26.2,13,94,Loss
CLE,0.471,12.1,20.5,20,86,0.494,12.9,23.4,13,89,Loss
DET,0.532,14.5,19,37,78,0.623,17.6,25,27,77,Loss
NYK,0.466,15,26,31,88,0.593,16.7,26.5,31,81,Loss
ATL,0.62,12.5,28.6,34,83,0.495,2.6,30,22,104,Win
LAL,0.589,7.9,19.5,21,95,0.56,10,14.3,17,91,Win
BRK,0.517,13.7,22.2,25,90,0.5,9.3,25,35,92,Loss
POR,0.494,15.9,16.7,30,77,0.506,12.6,25,26,86,Loss
MEM,0.635,19.8,28.9,9,89,0.586,13.6,17.1,19,87,Win
PHI,0.484,13.4,17,13,91,0.5,11.4,18.8,34,86,Loss
WAS,0.578,6.9,20.9,27,96,0.594,9.2,27,29,96,Loss
LAC,0.439,11.1,20,14,98,0.465,9.3,17.6,27,86,Loss
SAS,0.506,9.7,21.3,29,90,0.555,8.6,27.7,34,91,Loss
GSW,0.455,15,20.8,17,89,0.59,16.4,36.1,18,89,Loss
TOR,0.533,10.8,30.4,17,92,0.484,10.4,23.4,16,96,Win
MIA,0.62,17.7,11.8,11,79,0.471,16,22.9,21,85,Win
CHI,0.505,16.1,19.6,25,93,0.511,16.8,32.7,47,88,Loss
LAC,0.613,14.1,15.4,31,84,0.571,11.2,36.7,29,98,Loss
DAL,0.476,10.1,24,31,84,0.516,13.2,31.9,11,94,Loss
ATL,0.484,17.4,31.9,30,91,0.571,16.4,17.1,38,85,Loss
BRK,0.421,6.4,12.7,16,95,0.475,6.2,24.1,10,101,Loss
DET,0.586,18.1,20.6,11,81,0.516,8.8,28.6,16,96,Loss
SAS,0.579,10.5,19,10,89,0.483,8.9,29.8,34,87,Loss
IND,0.5,14.6,19,26,82,0.483,7.3,22.7,29,89,Loss
UTA,0.454,12.2,19.6,32,87,0.5,9.8,20,13,96,Loss
WAS,0.59,10.5,27.7,25,100,0.534,16.4,19.1,29,89,Win
PHI,0.578,12.3,30.2,22,90,0.605,12.1,16.7,41,76,Loss
BOS,0.478,12.2,20.4,23,91,0.445,16.4,25,34,82,Win
SAC,0.537,16.5,24.4,9,82,0.488,12.5,23.3,22,81,Loss
BRK,0.511,12.9,11.4,31,88,0.401,14.8,32.7,41,91,Win
MIL,0.505,12.4,16.7,7,96,0.38,11.1,23,9,100,Win
CHO,0.511,9.5,25.5,19,87,0.488,10.3,30.2,23,86,Win
NOP,0.549,17.5,16.3,6,82,0.599,18.7,27.3,13,81,Loss
HOU,0.559,10.4,29.8,22,94,0.524,16.1,31.7,23,84,Win
TOR,0.511,12.8,14,15,89,0.472,10.5,25.5,33,88,Loss
POR,0.522,10.3,20,26,93,0.494,8.9,15.2,34,88,Win
ATL,0.411,15.2,25.5,37,90,0.629,14.9,33.3,35,93,Loss
PHI,0.601,12.4,11.4,17,84,0.411,12.2,21.6,24,90,Win
BOS,0.476,13.1,22.2,24,82,0.506,11.3,21.7,12,89,Loss
DEN,0.652,10.8,14.3,23,89,0.56,14.5,21.4,24,84,Win
WAS,0.572,8.1,18,12,97,0.58,12.5,27.5,26,87,Loss
GSW,0.445,9,19.6,23,91,0.517,11.7,24.4,20,89,Loss
ATL,0.477,15.7,22,25,86,0.612,14.3,26.3,16,89,Loss
CLE,0.586,17.6,26.3,30,76,0.49,5.8,38,35,98,Loss
IND,0.505,8.4,29.4,17,101,0.423,8.7,7.7,24,84,Win
CHO,0.519,17.7,19.6,24,78,0.619,8.8,36.4,15,97,Loss
MIL,0.555,13.3,17.8,35,82,0.464,11.9,24.5,14,97,Win
POR,0.474,13.8,22.6,23,96,0.555,12.6,34.7,26,100,Loss
SAS,0.5,8,34.7,16,96,0.601,12.1,22.5,23,84,Loss
BOS,0.483,15,22.9,17,89,0.463,17.9,16.3,12,82,Win
MIN,0.539,13.3,10.9,19,89,0.427,11.5,20.7,26,96,Win
OKC,0.42,16.3,20,28,75,0.46,15.4,26.5,14,87,Loss
GSW,0.528,12.3,26.8,22,90,0.46,11.1,14.9,19,88,Win
POR,0.522,14.8,22.9,13,92,0.511,11.2,30.2,24,93,Loss
PHO,0.494,8.8,28.6,34,89,0.614,16.7,24.2,25,79,Loss
OKC,0.531,14.2,20,25,80,0.562,14.1,31.1,19,89,Loss
NYK,0.554,13.4,17.1,15,84,0.511,9.1,22.2,26,89,Loss
SAS,0.591,10.2,27.3,29,93,0.685,14.7,17.1,15,92,Loss
MIL,0.626,15.7,19,34,87,0.531,10.6,19.1,31,96,Win
CHO,0.438,14.8,16.7,26,81,0.456,13,28.3,23,90,Loss
GSW,0.433,8.2,17.6,25,90,0.689,9.9,24.2,23,90,Loss
CLE,0.494,16.8,23.8,16,87,0.647,20.1,33.3,31,78,Loss
ORL,0.434,9.6,30.2,28,91,0.569,10.3,27,19,87,Loss
DET,0.386,14.1,21.8,32,83,0.505,12,26.1,26,91,Loss
UTA,0.488,10.1,25,27,86,0.472,11.7,24,21,89,Win
HOU,0.5,18.7,21.4,25,76,0.516,12.2,30.6,15,94,Loss
BOS,0.452,13.4,31.6,14,104,0.511,18.7,28.6,16,93,Loss
POR,0.568,6.8,18.4,14,103,0.547,9.3,36,26,106,Loss
NOP,0.625,14.8,21.6,22,88,0.541,12.3,20,32,86,Win
ATL,0.489,16.6,25,17,88,0.701,16.5,33.3,20,82,Loss
CHO,0.591,14.2,16.7,8,93,0.604,9.9,14,20,91,Loss
SAC,0.477,14.5,16.7,19,86,0.58,16,33.3,31,81,Loss
MIA,0.582,17.2,25,28,79,0.511,11.6,28.6,20,90,Win
LAL,0.608,13,26.2,29,88,0.586,9.8,15,20,93,Win
SAS,0.541,10.7,7.3,16,85,0.573,13.3,31,19,89,Loss
CLE,0.5,9.7,17,17,86,0.68,4.6,27.8,9,100,Loss
BOS,0.451,10.8,11.9,23,81,0.483,15.4,23.9,13,88,Loss
GSW,0.521,7.5,13,12,94,0.588,15.6,20.5,16,85,Loss
HOU,0.554,13,22.9,38,84,0.592,16.3,23.8,24,87,Loss
PHO,0.396,6.1,20,26,96,0.484,12.4,17,17,91,Win
CHI,0.568,11.5,28.3,12,95,0.625,17.5,27.8,22,80,Win
ORL,0.538,11.9,16.7,9,92,0.608,18.1,21.2,16,79,Loss
TOR,0.528,12.9,28.6,30,88,0.6,13.7,21.1,11,90,Win
SAS,0.613,20.1,25,28,75,0.511,9.9,20.8,15,93,Win
MIA,0.44,16.4,20,27,75,0.59,13.4,21.6,17,83,Loss
POR,0.529,9.6,12.2,16,87,0.483,11.4,22,32,87,Loss
LAL,0.53,14.2,23.9,29,84,0.562,16.7,29.3,13,89,Win
DET,0.462,13.6,13,10,91,0.565,18.6,20.9,18,84,Loss
NOP,0.5,8.3,17.6,20,101,0.604,15,19.4,33,82,Loss
DAL,0.564,9.5,23.5,28,102,0.51,9,30.6,31,98,Win
BRK,0.494,10.7,17.1,34,77,0.575,15.5,24.3,16,80,Win
SAC,0.549,12.2,15.4,28,81,0.527,14.1,26.7,12,92,Win
PHO,0.573,12.1,17.5,12,82,0.549,9,39.6,23,91,Loss
NOP,0.505,7.8,23.1,18,98,0.551,5.1,32.7,33,98,Loss
BRK,0.527,8.3,26.7,11,94,0.495,8.9,25,20,94,Win
ORL,0.429,8.8,16.7,22,84,0.519,12.6,21.4,25,79,Loss
MEM,0.547,7.3,17.8,13,96,0.638,11.7,23.8,10,94,Loss
MIN,0.539,10.9,29.8,36,90,0.489,13.9,21.4,26,94,Win
SAC,0.582,14.1,22.9,15,79,0.488,10.4,28.2,23,85,Loss
CHO,0.466,11.7,19.6,25,87,0.604,16.8,24.2,28,77,Loss
PHI,0.494,14.4,30.4,16,88,0.518,9.6,17.8,22,84,Loss
POR,0.562,13.2,31,22,89,0.471,15.2,16,20,86,Win
UTA,0.629,15.1,10.5,12,85,0.51,7.6,29.4,29,97,Loss
LAL,0.573,8.5,23.8,18,89,0.523,12.1,23.1,15,88,Win
OKC,0.535,14.3,22,11,85,0.466,11.1,20.9,16,89,Win
LAC,0.479,11.3,31.5,30,97,0.449,17.5,18.8,35,79,Win
WAS,0.474,10.3,9.4,21,95,0.556,16.7,24.4,23,90,Loss
BRK,0.561,13.2,23.4,19,90,0.51,11.5,41.3,24,97,Loss
DET,0.523,7.8,22.5,15,88,0.483,3,21.3,20,88,Loss
ORL,0.548,9.9,14,17,93,0.525,21.6,30,22,81,Win
UTA,0.494,14.5,24.4,25,83,0.563,10.4,26.8,16,96,Loss
SAC,0.458,10,16,9,95,0.5,16.3,17.1,24,77,Loss
NYK,0.443,15.4,30,24,88,0.601,10.6,36.2,17,94,Loss
MIA,0.55,16.4,19,27,80,0.548,13.3,21.4,33,83,Loss
LAC,0.537,12.4,27.1,25,95,0.527,16.2,30.2,26,92,Win
ATL,0.463,14.1,27.5,22,94,0.534,12.3,22.2,27,88,Loss
MIN,0.541,10.2,15.6,27,85,0.448,5.4,14.8,17,97,Win
WAS,0.68,12.5,12.5,20,89,0.597,12.7,28.6,24,93,Win
LAL,0.565,13.5,19.4,25,85,0.506,16.4,30.2,30,84,Win
OKC,0.506,5.4,15.4,38,88,0.596,7.9,25,24,94,Loss
CHI,0.438,14.9,25.5,18,89,0.525,17.8,31.7,26,81,Loss
BOS,0.489,15.7,30.8,21,93,0.554,15.4,28.9,13,93,Loss
CHO,0.596,10,26.2,15,83,0.584,12.4,35,20,83,Win
TOR,0.435,11.9,22,28,84,0.391,19.7,27.1,27,78,Win
MIL,0.58,11.7,25,23,88,0.597,13.2,18.2,10,88,Win
PHI,0.479,15.2,22.2,40,72,0.487,13.1,19.1,33,78,Win
ATL,0.483,19.7,23.3,18,90,0.457,12.6,19.1,28,92,Loss
UTA,0.463,4.6,21.6,19,95,0.447,9.8,26.8,17,94,Win
GSW,0.455,8.7,11.4,40,77,0.616,13.7,27.8,28,82,Loss
NOP,0.511,11.9,16.3,21,87,0.55,10.2,14,16,90,Loss
LAC,0.457,12.5,18.4,13,92,0.505,8.3,17,14,93,Loss
DAL,0.512,7.3,20,38,85,0.511,8.8,22.4,25,93,Win
CHI,0.457,9.5,21.2,25,94,0.512,11.9,18.2,28,84,Loss
WAS,0.448,14,24.5,19,96,0.598,15.3,17.9,28,87,Loss
DEN,0.477,14.3,19.6,21,87,0.427,11.7,25,21,96,Loss
IND,0.625,17.9,9.7,25,76,0.565,11.4,12.5,36,77,Loss
ATL,0.511,11.5,17,25,89,0.725,12.6,38.2,34,89,Loss
CHO,0.441,10.3,24.6,8,101,0.667,6.4,15.6,15,96,Loss
MIA,0.453,7.7,29.1,28,95,0.516,10.9,20.5,16,91,Win
MEM,0.49,9.1,21.8,21,100,0.453,13.7,20.8,35,85,Win
BOS,0.522,11.2,34,22,93,0.513,13.2,22.2,37,76,Win
DAL,0.521,11,30.8,18,97,0.5,15.3,20.5,16,87,Win
SAS,0.449,7.6,15.2,22,88,0.676,13.5,31.4,18,88,Loss
OKC,0.537,10.6,11.6,26,81,0.546,10.7,6.7,10,87,Win
GSW,0.429,9,29.4,23,91,0.489,11,27.9,22,87,Loss
UTA,0.494,14.9,29.4,29,90,0.628,12.4,16.3,21,90,Loss
WAS,0.515,10.9,22.2,27,102,0.628,12.5,24.4,40,94,Loss
PHO,0.494,6.5,18.8,30,88,0.494,16.6,33.3,26,84,Win
UTA,0.5,17.5,11.4,20,81,0.478,12.2,17.8,23,91,Loss
GSW,0.416,20.7,40,12,83,0.506,12.8,28.2,15,89,Loss
